,year,CO2,sqrt_CO2,Log_CO2,recp_CO2,exp_CO2
0,1800,0.00568,0.075365775,-5.170804046,176.056338,1.005696162
1,1801,0.00561,0.074899933,-5.183204559,178.2531194,1.005625766
2,1802,0.00555,0.074498322,-5.193957351,180.1801802,1.00556543
3,1803,0.00548,0.074027022,-5.206650178,182.4817518,1.005495043
4,1804,0.00542,0.073620649,-5.217659464,184.501845,1.005434715
5,1805,0.00536,0.073212021,-5.228791304,186.5671642,1.00537439
6,1806,0.00529,0.072732386,-5.241937033,189.0359168,1.005304017
7,1807,0.00523,0.072318739,-5.253344001,191.2045889,1.0052437
8,1808,0.00517,0.071902712,-5.26488259,193.4235977,1.005183388
9,1809,0.00511,0.071484264,-5.276555875,195.6947162,1.005123078
10,1810,0.00504,0.070992957,-5.290349197,198.4126984,1.005052722
11,1811,0.00497,0.070498227,-5.304335439,201.2072435,1.004982371
12,1812,0.0049,0.07,-5.318520074,204.0816327,1.004912025
13,1813,0.00483,0.069498201,-5.332908811,207.0393375,1.004841683
14,1814,0.00475,0.068920244,-5.349610661,210.5263158,1.004761299
15,1815,0.00466,0.068264193,-5.368739831,214.5922747,1.004670875
16,1816,0.00457,0.067601775,-5.388242074,218.8183807,1.004580458
17,1817,0.00447,0.066858059,-5.41036687,223.7136465,1.004480005
18,1818,0.00438,0.066181568,-5.430706555,228.3105023,1.004389606
19,1819,0.00427,0.065345237,-5.456141452,234.1920375,1.004279129
20,1820,0.00417,0.064575537,-5.479839243,239.8081535,1.004178707
21,1821,0.00406,0.063718129,-5.506572305,246.3054187,1.004068253
22,1822,0.00395,0.062849025,-5.5340397,253.164557,1.003957812
23,1823,0.00384,0.061967734,-5.562282912,260.4166667,1.003847382
24,1824,0.00373,0.061073726,-5.591347045,268.0965147,1.003736965
25,1825,0.00362,0.060166436,-5.621281253,276.2430939,1.00362656
26,1826,0.0035,0.059160798,-5.65499231,285.7142857,1.003506132
27,1827,0.00339,0.058223707,-5.686925358,294.9852507,1.003395753
28,1828,0.00327,0.057183914,-5.722965294,305.8103976,1.003275352
29,1829,0.00316,0.056213877,-5.757183251,316.4556962,1.003164998
30,1830,0.00305,0.055226805,-5.792613688,327.8688525,1.003054656
31,1831,0.00294,0.054221767,-5.829345698,340.1360544,1.002944326
32,1832,0.00283,0.053197744,-5.867478567,353.3568905,1.002834008
33,1833,0.00273,0.052249402,-5.90345367,366.3003663,1.00273373
34,1834,0.00263,0.051283526,-5.940771433,380.2281369,1.002633461
35,1835,0.00253,0.050299105,-5.979535976,395.256917,1.002533203
36,1836,0.00244,0.049396356,-6.01575724,409.8360656,1.002442979
37,1837,0.00235,0.048476799,-6.053339951,425.5319149,1.002352763
38,1838,0.00227,0.047644517,-6.087975447,440.5286344,1.002272578
39,1839,0.00218,0.04669047,-6.128430402,458.7155963,1.002182378
40,1840,0.0021,0.045825757,-6.165817934,476.1904762,1.002102207
41,1841,0.00202,0.04494441,-6.204657768,495.049505,1.002022042
42,1842,0.00195,0.044158804,-6.239925906,512.8205128,1.001951902
43,1843,0.00188,0.043358967,-6.276483502,531.9148936,1.001881768
44,1844,0.00181,0.042544095,-6.314428434,552.4861878,1.001811639
45,1845,0.00175,0.041833001,-6.348139491,571.4285714,1.001751532
46,1846,0.0118,0.108627805,-4.439655748,84.74576271,1.011869895
47,1847,0.0147,0.121243557,-4.219907785,68.02721088,1.014808576
48,1848,0.0174,0.13190906,-4.051285073,57.47126437,1.017552262
49,1849,0.0198,0.140712473,-3.922073341,50.50505051,1.01999732
50,1850,0.0236,0.153622915,-3.746508567,42.37288136,1.023880684
51,1851,0.0271,0.164620776,-3.608221551,36.900369,1.027470545
52,1852,0.0318,0.178325545,-3.448288989,31.44654088,1.032311022
53,1853,0.0376,0.193907194,-3.280751229,26.59574468,1.038315823
54,1854,0.0445,0.210950231,-3.11226609,22.47191011,1.045504977
55,1855,0.0522,0.228473193,-2.952672784,19.15708812,1.053586439
56,1856,0.0608,0.24657656,-2.80016549,16.44736842,1.062686356
57,1857,0.0715,0.267394839,-2.638057829,13.98601399,1.074118151
58,1858,0.0853,0.292061637,-2.461580824,11.72332943,1.089043731
59,1859,0.0996,0.315594677,-2.306593114,10.04016064,1.104728938
60,1860,0.118,0.343511281,-2.137070655,8.474576271,1.125244111
61,1861,0.139,0.372827038,-1.973281346,7.194244604,1.1491241
62,1862,0.167,0.408656335,-1.789761467,5.988023952,1.181754265
63,1863,0.206,0.453872229,-1.57987911,4.854368932,1.228753204
64,1864,0.242,0.491934955,-1.418817553,4.132231405,1.273794193
65,1865,0.288,0.536656315,-1.244794799,3.472222222,1.333757304
66,1866,0.346,0.588217647,-1.061316504,2.89017341,1.413402616
67,1867,0.436,0.660302961,-0.830113036,2.293577982,1.546508795
68,1868,0.255,0.504975247,-1.366491734,3.921568627,1.290461621
69,1869,0.182,0.42661458,-1.703748592,5.494505495,1.199614194
70,1870,0.321,0.566568619,-1.136314156,3.115264798,1.378505581
71,1871,0.461,0.678969808,-0.774357236,2.169197397,1.585658851
72,1872,0.471,0.686294397,-0.752897185,2.123142251,1.601594988
73,1873,0.406,0.637181293,-0.901402119,2.463054187,1.500802552
74,1874,0.404,0.635609943,-0.906340401,2.475247525,1.497803947
75,1875,0.461,0.678969808,-0.774357236,2.169197397,1.585658851
76,1876,0.45,0.670820393,-0.798507696,2.222222222,1.568312185
77,1877,0.484,0.695701085,-0.725670372,2.066115702,1.622551646
78,1878,0.456,0.675277721,-0.785262469,2.192982456,1.577750345
79,1879,0.508,0.712741187,-0.677273831,1.968503937,1.661963941
80,1880,1.2,1.095445115,0.182321557,0.833333333,3.320116923
81,1881,1.27,1.126942767,0.2390169,0.787401575,3.560852562
82,1882,1.48,1.216552506,0.392042088,0.675675676,4.392945681
83,1883,1.64,1.280624847,0.494696242,0.609756098,5.155169512
84,1884,1.87,1.367479433,0.625938431,0.534759358,6.488296399
85,1885,1.78,1.334166406,0.576613364,0.561797753,5.929856419
86,1886,1.87,1.367479433,0.625938431,0.534759358,6.488296399
87,1887,2.14,1.462873884,0.760805829,0.46728972,8.499437629
88,1888,2.77,1.664331698,1.01884732,0.36101083,15.95863401
89,1889,2.33,1.526433752,0.845868268,0.429184549,10.27794153
90,1890,2.53,1.590597372,0.928219303,0.395256917,12.55350614
91,1891,2.81,1.676305461,1.033184483,0.355871886,16.60991822
92,1892,2.78,1.6673332,1.022450928,0.35971223,16.11902095
93,1893,2.94,1.71464282,1.078409581,0.340136054,18.91584631
94,1894,2.78,1.6673332,1.022450928,0.35971223,16.11902095
95,1895,2.62,1.618641406,0.963174318,0.381679389,13.73572359
96,1896,2.81,1.676305461,1.033184483,0.355871886,16.60991822
97,1897,2.8,1.673320053,1.029619417,0.357142857,16.44464677
98,1898,2.94,1.71464282,1.078409581,0.340136054,18.91584631
99,1899,3.53,1.878829423,1.261297871,0.283286119,34.12396761
100,1900,3.73,1.931320792,1.316408234,0.268096515,41.67910816
101,1901,4.24,2.059126028,1.444563269,0.235849057,69.40785184
102,1902,4.49,2.11896201,1.501852702,0.222717149,89.12144588
103,1903,4.78,2.186321111,1.564440547,0.209205021,119.10435
104,1904,5.5,2.34520788,1.704748092,0.181818182,244.6919323
105,1905,5.72,2.391652149,1.743968805,0.174825175,304.904923
106,1906,5.87,2.422808288,1.769854634,0.170357751,354.2489803
107,1907,7.18,2.679552201,1.971299383,0.139275766,1312.908258
108,1908,7.02,2.64952826,1.948763218,0.142450142,1118.786618
109,1909,6.51,2.551470164,1.873339456,0.153609831,671.8264176
110,1910,7.2,2.683281573,1.974081026,0.138888889,1339.430764
111,1911,8.18,2.860069929,2.101692151,0.122249389,3568.854661
112,1912,8.86,2.976575213,2.181546765,0.112866817,7044.482745
113,1913,10.1,3.178049716,2.312535424,0.099009901,24343.00942
114,1914,8.53,2.920616373,2.143589362,0.117233294,5064.445835
115,1915,7.51,2.740437921,2.016235466,0.133155792,1826.213543
116,1916,9.33,3.05450487,2.233235015,0.107181136,11271.13149
117,1917,10.3,3.209361307,2.332143895,0.097087379,29732.61885
118,1918,10.7,3.271085447,2.370243741,0.093457944,44355.85513
119,1919,8.91,2.984962311,2.187174241,0.112233446,7405.661098
120,1920,9.64,3.104834939,2.265921109,0.10373444,15367.34373
121,1921,8.98,2.996664813,2.194999882,0.111358575,7942.632116
122,1922,7.6,2.75680975,2.028148247,0.131578947,1998.195895
123,1923,10.1,3.178049716,2.312535424,0.099009901,24343.00942
124,1924,8.27,2.875760769,2.112634509,0.120918984,3904.948992
125,1925,7.91,2.812472222,2.068127782,0.12642225,2724.390466
126,1926,8.75,2.958039892,2.1690537,0.114285714,6310.688108
127,1927,9.32,3.052867504,2.232162629,0.107296137,11158.98185
128,1928,9.32,3.052867504,2.232162629,0.107296137,11158.98185
129,1929,9.66,3.108054054,2.267993648,0.103519669,15677.78467
130,1930,9.04,3.006659276,2.201659174,0.110619469,8433.777056
131,1931,7.15,2.673948391,1.967112357,0.13986014,1274.105955
132,1932,6.53,2.555386468,1.876406943,0.153139357,685.3982115
133,1933,6.39,2.527844932,1.854734268,0.156494523,595.8565797
134,1934,7.28,2.698147513,1.985130862,0.137362637,1450.988025
135,1935,7.11,2.666458325,1.961502244,0.140646976,1224.147546
136,1936,7.7,2.774887385,2.041220329,0.12987013,2208.347992
137,1937,8.27,2.875760769,2.112634509,0.120918984,3904.948992
138,1938,7.5,2.738612788,2.014903021,0.133333333,1808.042414
139,1939,8.25,2.872281323,2.1102132,0.121212121,3827.625821
140,1940,9.33,3.05450487,2.233235015,0.107181136,11271.13149
141,1941,10.2,3.193743885,2.32238772,0.098039216,26903.18607
142,1942,11,3.31662479,2.397895273,0.090909091,59874.14172
143,1943,11.4,3.376388603,2.433613355,0.087719298,89321.72336
144,1944,11.5,3.391164992,2.442347035,0.086956522,98715.77101
145,1945,10.5,3.240370349,2.351375257,0.095238095,36315.50267
146,1946,11,3.31662479,2.397895273,0.090909091,59874.14172
147,1947,11.2,3.346640106,2.415913778,0.089285714,73130.44183
148,1948,12.1,3.478505426,2.493205453,0.082644628,179871.8623
149,1949,10.8,3.286335345,2.379546134,0.092592593,49020.80114
150,1950,11.2,3.346640106,2.415913778,0.089285714,73130.44183
151,1951,11.5,3.391164992,2.442347035,0.086956522,98715.77101
152,1952,11,3.31662479,2.397895273,0.090909091,59874.14172
153,1953,10.8,3.286335345,2.379546134,0.092592593,49020.80114
154,1954,10.7,3.271085447,2.370243741,0.093457944,44355.85513
155,1955,10.8,3.286335345,2.379546134,0.092592593,49020.80114
156,1956,11.7,3.420526275,2.459588842,0.085470085,120571.715
157,1957,11,3.31662479,2.397895273,0.090909091,59874.14172
158,1958,10.7,3.271085447,2.370243741,0.093457944,44355.85513
159,1959,10.5,3.240370349,2.351375257,0.095238095,36315.50267
160,1960,10.8,3.286335345,2.379546134,0.092592593,49020.80114
161,1961,10.6,3.255764119,2.360854001,0.094339623,40134.83743
162,1962,11.1,3.33166625,2.406945108,0.09009009,66171.16017
163,1963,11.1,3.33166625,2.406945108,0.09009009,66171.16017
164,1964,12.3,3.507135583,2.509599262,0.081300813,219695.9887
165,1965,12.8,3.577708764,2.549445171,0.078125,362217.4496
166,1966,12.9,3.591656999,2.557227311,0.07751938,400312.1913
167,1967,13.8,3.714835124,2.624668592,0.072463768,984609.1112
168,1968,14.6,3.820994635,2.681021529,0.068493151,2191287.876
169,1969,14.6,3.820994635,2.681021529,0.068493151,2191287.876
170,1970,15.9,3.987480407,2.766319109,0.062893082,8040485.3
171,1971,16.2,4.024922359,2.785011242,0.061728395,10853519.9
172,1972,17.2,4.147288271,2.844909384,0.058139535,29502925.92
173,1973,17,4.123105626,2.833213344,0.058823529,24154952.75
174,1974,17.1,4.135214626,2.839078464,0.058479532,26695351.31
175,1975,17.2,4.147288271,2.844909384,0.058139535,29502925.92
176,1976,17,4.123105626,2.833213344,0.058823529,24154952.75
177,1977,17.2,4.147288271,2.844909384,0.058139535,29502925.92
178,1978,17.3,4.159326869,2.850706502,0.057803468,32605775.72
179,1979,18.2,4.266145802,2.901421594,0.054945055,80197267.41
180,1980,18.1,4.254409477,2.895911938,0.055248619,72565488.37
181,1981,17.3,4.159326869,2.850706502,0.057803468,32605775.72
182,1982,16.6,4.074309757,2.809402695,0.060240964,16191549.04
183,1983,16.2,4.024922359,2.785011242,0.061728395,10853519.9
184,1984,16.6,4.074309757,2.809402695,0.060240964,16191549.04
185,1985,16.3,4.037325848,2.791165108,0.061349693,11994994.55
186,1986,15.5,3.937003937,2.740840024,0.064516129,5389698.476
187,1987,16.2,4.024922359,2.785011242,0.061728395,10853519.9
188,1988,16.9,4.110960958,2.827313622,0.059171598,21856305.08
189,1989,17,4.123105626,2.833213344,0.058823529,24154952.75
190,1990,15.7,3.962322551,2.753660712,0.063694268,6582992.585
191,1991,15.2,3.898717738,2.721295428,0.065789474,3992786.835
192,1992,15.5,3.937003937,2.740840024,0.064516129,5389698.476
193,1993,15.5,3.937003937,2.740840024,0.064516129,5389698.476
194,1994,15.7,3.962322551,2.753660712,0.063694268,6582992.585
195,1995,15.9,3.987480407,2.766319109,0.062893082,8040485.3
196,1996,16.2,4.024922359,2.785011242,0.061728395,10853519.9
197,1997,16.6,4.074309757,2.809402695,0.060240964,16191549.04
198,1998,16.8,4.098780306,2.821378886,0.05952381,19776402.66
199,1999,16.9,4.110960958,2.827313622,0.059171598,21856305.08
200,2000,17.4,4.171330723,2.856470206,0.057471264,36034955.09
201,2001,17,4.123105626,2.833213344,0.058823529,24154952.75
202,2002,16.6,4.074309757,2.809402695,0.060240964,16191549.04
203,2003,17.5,4.183300133,2.862200881,0.057142857,39824784.4
204,2004,17.3,4.159326869,2.850706502,0.057803468,32605775.72
205,2005,17.3,4.159326869,2.850706502,0.057803468,32605775.72
206,2006,16.7,4.086563348,2.815408719,0.05988024,17894429.12
207,2007,16.8,4.098780306,2.821378886,0.05952381,19776402.66
208,2008,16.8,4.098780306,2.821378886,0.05952381,19776402.66
209,2009,15.9,3.987480407,2.766319109,0.062893082,8040485.3
210,2010,15.6,3.949683532,2.747270914,0.064102564,5956538.013
211,2011,15.6,3.949683532,2.747270914,0.064102564,5956538.013
212,2012,14.8,3.847076812,2.694627181,0.067567568,2676445.055
213,2013,14.7,3.834057903,2.687847494,0.068027211,2421747.633
214,2014,15.1,3.885871846,2.714694744,0.066225166,3612822.931
